title,token,url,price_toman,mileage_km,year,age,color,body_status,engine_status,chassis_status,gearbox,fuel_type,insurance,brand_model,airbag,tire_quality
تارا اتوماتیک V2,gaC8se_J,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V2/gaC8se_J,2120000000,54000,1402,3,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا اتوماتیک V2,نامشخص,نامشخص
تارا اتومات ۱۴۰۱ درحد صفر,gaBopgvj,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%DB%B1%DB%B4%DB%B0%DB%B1-%D8%AF%D8%B1%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1/gaBopgvj,2250000000,17000,1401,4,آبی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا اتوماتیک V2,نامشخص,نامشخص
تارا ۱۴۰۳ v4,gaH4Bx9N,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B1%DB%B4%DB%B0%DB%B3-v4/gaH4Bx9N,2530000000,16400,1403,2,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V4 برج ۱۰ ۱۴۰۳,gaHkhgqU,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-%D8%A8%D8%B1%D8%AC-%DB%B1%DB%B0-%DB%B1%DB%B4%DB%B0%DB%B3/gaHkhgqU,2550000000,8000,1403,2,تیتانیوم,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,اتوماتیک,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v1+ 1405,Qa_vGw1P,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-1405/Qa_vGw1P,2260000000,55,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 پلاس صفر خشک,gaHcRJHt,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-%D8%B5%D9%81%D8%B1-%D8%AE%D8%B4%DA%A9/gaHcRJHt,2300000000,0,1405,0,سفید,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 سفید lx مدل ۱۴۰۳,gaHYxl2K,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%B3%D9%81%DB%8C%D8%AF-lx-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/gaHYxl2K,2475000000,22000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,اتوماتیک,بنزینی,6,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تاراv4مدل 1403,gaEgs_Pc,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v4%D9%85%D8%AF%D9%84-1403/gaEgs_Pc,2485000000,40000,1403,2,نقره‌ای,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا وی 2 بیرنگ خاکستری اتوماتیک 1402,gaF4rlKE,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%88%DB%8C-2-%D8%A8%DB%8C%D8%B1%D9%86%DA%AF-%D8%AE%D8%A7%DA%A9%D8%B3%D8%AA%D8%B1%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-1402/gaF4rlKE,2210000000,27000,1402,3,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V4,gaHEBapX,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4/gaHEBapX,2550000000,35000,1403,2,خاکستری,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v4 LX 404,gaHEBX6E,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-LX-404/gaHEBX6E,2750000000,8000,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک فول,gaH4g2px,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%81%D9%88%D9%84/gaH4g2px,2680000000,794,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا پلاس دنده سفیدصفر ۴۰۵*اقساطی تحویل فوری *,QanPSOH7,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%D8%AF%D9%86%D8%AF%D9%87-%D8%B3%D9%81%DB%8C%D8%AF%D8%B5%D9%81%D8%B1-%DB%B4%DB%B0%DB%B5-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7%DB%8C-%D8%AA%D8%AD%D9%88%DB%8C%D9%84-%D9%81%D9%88%D8%B1%DB%8C/QanPSOH7,2150000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 اتوماتیک باسرامیک بدنه شرکتی ایران خودرو,gaHYAFHz,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A8%D8%A7%D8%B3%D8%B1%D8%A7%D9%85%DB%8C%DA%A9-%D8%A8%D8%AF%D9%86%D9%87-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AE%D9%88%D8%AF%D8%B1%D9%88/gaHYAFHz,2900000000,3300,1404,1,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا ۶دنده,Qasvcu0O,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B6%D8%AF%D9%86%D8%AF%D9%87/Qasvcu0O,2100000000,14000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا v1 پلاس,نامشخص,نامشخص
ماشین تارا اتومات ۱۴۰۲,gaHAgYgz,https://divar.ir/v/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%DB%B1%DB%B4%DB%B0%DB%B2/gaHAgYgz,2200000000,2500,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا v2,gaHAQDIm,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v2/gaHAQDIm,2460000000,6800,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا اتوماتیک V2,نامشخص,نامشخص
تارا v4مدل ۱۴۰۴,gaG0_Y_g,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4/gaG0_Y_g,2520000000,38000,1404,1,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,اتوماتیک,بنزینی,1,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک v2,gaGofBYD,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-v2/gaGofBYD,2058000000,70000,1401,4,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V2 اوتومات ۱۴۰۳,gaAYvh99,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V2-%D8%A7%D9%88%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%DB%B1%DB%B4%DB%B0%DB%B3/gaAYvh99,2250000000,32000,1403,2,آبی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا اتوماتیک V2,نامشخص,نامشخص
تارا. دنده‌ای . نقره‌ای تیتانیوم,gaE46mjA,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%D9%86%D9%82%D8%B1%D9%87-%D8%A7%DB%8C-%D8%AA%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D9%88%D9%85/gaE46mjA,1800000000,68000,1401,4,تیتانیوم,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا دنده‌ای V1,نامشخص,نامشخص
تارا V1 مدل 1403,gaGUv1rp,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%85%D8%AF%D9%84-1403/gaGUv1rp,2100000000,21000,1403,2,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا دنده‌ای V1,نامشخص,نامشخص
تارا V1 پلاس مشابه صفر کم کار واقعی,gaEAkHef,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D8%B5%D9%81%D8%B1-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1-%D9%88%D8%A7%D9%82%D8%B9%DB%8C/gaEAkHef,2000000000,15000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا v1 پلاس,نامشخص,نامشخص
تارا V4 LXصفر مشکی,Qa4bz4zS,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-LX%D8%B5%D9%81%D8%B1-%D9%85%D8%B4%DA%A9%DB%8C/Qa4bz4zS,2680000000,0,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تاراv4 تحویل فوری,gaA4itXJ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v4-%D8%AA%D8%AD%D9%88%DB%8C%D9%84-%D9%81%D9%88%D8%B1%DB%8C/gaA4itXJ,2200000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V4 ۱۴۰۳,gaGweits,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-%DB%B1%DB%B4%DB%B0%DB%B3/gaGweits,2640000000,1600,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتومات تیتانیوم مدل 1405,gaEkFutt,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D8%AA%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D9%88%D9%85-%D9%85%D8%AF%D9%84-1405/gaEkFutt,2665000000,7000,1405,0,تیتانیوم,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,,بنزینی,,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v۱ مدل۱۴۰۵برج۲,gaGkOvJ0,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v%DB%B1-%D9%85%D8%AF%D9%84%DB%B1%DB%B4%DB%B0%DB%B5%D8%A8%D8%B1%D8%AC%DB%B2/gaGkOvJ0,2230000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا V4,gaGg-YYG,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4/gaGg-YYG,2700000000,2600,1404,1,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v1 پلاس,gaGYuF77,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3/gaGYuF77,2150000000,13000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 اتوماتیک مدل ۱۴۰۴,gaGY-qUL,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4/gaGY-qUL,2500000000,4800,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا تیتانیوم V1P مدل ۱۴۰۴ (برج ۸) گارانتی فعال,gaG8Nvfj,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AA%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D9%88%D9%85-V1P-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4-%D8%A8%D8%B1%D8%AC-%DB%B8-%DA%AF%D8%A7%D8%B1%D8%A7%D9%86%D8%AA%DB%8C-%D9%81%D8%B9%D8%A7%D9%84/gaG8Nvfj,2100000000,7900,1404,1,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 پلاس صفر معاوضه با v4 پلاس صفر,gaGM-jma,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-%D8%B5%D9%81%D8%B1-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-%D8%A8%D8%A7-v4-%D9%BE%D9%84%D8%A7%D8%B3-%D8%B5%D9%81%D8%B1/gaGM-jma,1000,0,1405,0,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا v1 پلاس,نامشخص,نامشخص
تارا v2/بدون رنگ/1402/اقساط 12 ماهه,gaEUiGT_,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v2-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-1402-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-12-%D9%85%D8%A7%D9%87%D9%87/gaEUiGT_,1750000000,42000,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا اتوماتیک V2,نامشخص,نامشخص
تارا v4 مدل ۱۴۰۴ فول کامل در حد صفر گارانتی فعال,Qa8zFY1m,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4-%D9%81%D9%88%D9%84-%DA%A9%D8%A7%D9%85%D9%84-%D8%AF%D8%B1-%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1-%DA%AF%D8%A7%D8%B1%D8%A7%D9%86%D8%AA%DB%8C-%D9%81%D8%B9%D8%A7%D9%84/Qa8zFY1m,2690000000,7000,1404,1,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V1 پلاس ۶ سرعته ،مشکی آبنوس،مدل ۱۴۰۵,Qa-7tgpn,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6-%D8%B3%D8%B1%D8%B9%D8%AA%D9%87-%D8%8C%D9%85%D8%B4%DA%A9%DB%8C-%D8%A2%D8%A8%D9%86%D9%88%D8%B3%D8%8C%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B5/Qa-7tgpn,2220000000,2000,1405,0,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا v1 پلاس,نامشخص,نامشخص
تارا V1 پلاس مدل آخر۱۴۰۲,Qa8Tlf1k,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-%D8%A2%D8%AE%D8%B1%DB%B1%DB%B4%DB%B0%DB%B2/Qa8Tlf1k,1750000000,90000,1402,3,نوک‌مدادی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا دنده‌ای V1,نامشخص,نامشخص
تارا V1پلاس ۱۴۰۴ سفید,Qa5H9Os9,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1%D9%BE%D9%84%D8%A7%D8%B3-%DB%B1%DB%B4%DB%B0%DB%B4-%D8%B3%D9%81%DB%8C%D8%AF/Qa5H9Os9,2135000000,5770,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا v1 پلاس,نامشخص,نامشخص
تارا اتومات v4 tu5p مدل 1404,Qa8bV_kL,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-v4-tu5p-%D9%85%D8%AF%D9%84-1404/Qa8bV_kL,2510000000,2500,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,1,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا دنده ای,gaGcd-q9,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C/gaGcd-q9,3300000000,5580,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک V4LXتوربوEF7P,gaGc9PRy,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V4LX%D8%AA%D9%88%D8%B1%D8%A8%D9%88EF7P/gaGc9PRy,3150000000,0,1405,0,سفید صدفی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v4 توربو EF7P,نامشخص,نامشخص
تارا ۴۰۳ در حد نو کم کار,gaFspo2_,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B4%DB%B0%DB%B3-%D8%AF%D8%B1-%D8%AD%D8%AF-%D9%86%D9%88-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1/gaFspo2_,1980000000,25000,1403,2,سفید صدفی,خط و خش جزیی,سالم,سالم و پلمپ,,بنزینی,3,تارا v1 پلاس,نامشخص,نامشخص
تارا اتومات v2 مدل ۱۴۰۲ بیرنگ,gaGUdwWg,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-v2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B2-%D8%A8%DB%8C%D8%B1%D9%86%DA%AF/gaGUdwWg,2335000000,60000,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا اتوماتیک V2,نامشخص,نامشخص
تارا v2 اتوماتیک مدل ۱۴۰۲ بدون رنگ,gaGQNVpX,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v2-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B2-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF/gaGQNVpX,2130000000,40000,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا اتوماتیک V2,نامشخص,نامشخص
تارا v1 پلاس,gaGEN-dE,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3/gaGEN-dE,1980000000,19900,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,2,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 دستی 1401,gaDklzTn,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D8%AF%D8%B3%D8%AA%DB%8C-1401/gaDklzTn,1830000000,48000,1401,4,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا دنده‌ای V1,نامشخص,نامشخص
تارا باشرایط بنام فوری,gaFkoGTs,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A8%D8%A7%D8%B4%D8%B1%D8%A7%DB%8C%D8%B7-%D8%A8%D9%86%D8%A7%D9%85-%D9%81%D9%88%D8%B1%DB%8C/gaFkoGTs,1155000000,0,1405,0,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا v1 پلاس,نامشخص,نامشخص
تارا اتومات V4 صفر مدل 1405,gaGAdUcT,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-V4-%D8%B5%D9%81%D8%B1-%D9%85%D8%AF%D9%84-1405/gaGAdUcT,2670000000,29,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا وی فور v4 اتوماتیک تیتانیوم,gaCUvyUC,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%88%DB%8C-%D9%81%D9%88%D8%B1-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%AA%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D9%88%D9%85/gaCUvyUC,2598000000,10000,1404,1,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V۴ اتوماتیک با آپشن های آپکویی,gaGYMcuT,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V%DB%B4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D8%A8%D8%A7-%D8%A2%D9%BE%D8%B4%D9%86-%D9%87%D8%A7%DB%8C-%D8%A2%D9%BE%DA%A9%D9%88%DB%8C%DB%8C/gaGYMcuT,2530000000,34000,1403,2,نقره‌ای,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتومات v4,gaG8b9XZ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-v4/gaG8b9XZ,2550000000,17000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
